Recording	Participant	Czy_kolejarz	Czy_maszynista	Czy_pasjonat_kolei	Czy_używał_symulatorów_w_pracy	Płeć	Wiek	Wykształcenie	Zaawansowanie_w_grach	Zaawansowanie_w_grach_symulacyjnych	Timeline	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	84	58614	58731	117			0.44577	0.4485	3.14944
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	85	59080	59180	100			0.1714	0.21115	3.1801
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	86	59214	59430	217			0.11354	0.14555	3.11375
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Partial	87	59447	61913	2467			0.07824	0.09608	3.14489
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Partial	88	62943	63261	318			0.09841	0.10721	3.1462
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	89	63377	63461	83			0.17798	0.19364	3.14547
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	90	63944	64027	83			0.6232	0.59091	3.13061
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	91	64077	65326	1249			0.70464	0.70671	3.1294
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	92	65476	66991	1516			0.70127	0.70541	3.11547
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	93	67374	67624	250			0.4136	0.41718	3.26954
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	94	67741	67824	83			0.27766	0.24682	3.33311
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	95	67841	67924	83			0.25895	0.23605	3.36096
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	96	67941	69490	1549			0.30529	0.32497	3.43046
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	97	69673	70889	1216			0.30901	0.33661	3.39571
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	98	71072	71238	167			0.31102	0.59892	3.43147
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	99	71272	71688	416			0.30043	0.75385	3.50375
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	100	71705	74419	2715			0.30842	0.71468	3.25114
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	101	74469	74619	150			0.36172	0.63079	3.14003
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	102	74836	74919	83			0.60077	0.40224	3.14915
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	103	74936	75085	150			0.64211	0.36816	3.11859
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	104	75135	76351	1216			0.71122	0.29359	3.0622
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Partial	105	76484	78033	1549			0.70242	0.30088	3.06089
u02-1	u02	nie	nie	nie	nie dotyczy	K	17-23	średnie	0	0	Timeline1	Entire Recording	1		Fixation	Whole	106	78083	78583	500			0.52954	0.43157	3.21727
